
S.No,Flight Number,Date,Origin,Destination,Aircraft,FlightTime,STD,ATD,STA,Unnamed: 10,ATA,Unnamed: 12,Unnamed: 13,STD_mins,ATD_mins,STA_mins,ATA_mins,DepartureDelay,ArrivalDelay,ScheduledHour
,,2025-07-25,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXU),01:54:00,06:00:00,06:20:00,08:10:00,,Landed 8:14 AM,  , ,360,380,490,494.0,20,4.0,6
,,2025-07-24,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTJ),01:54:00,06:00:00,06:07:00,08:10:00,,Landed 8:01 AM,  , ,360,367,490,481.0,7,-9.0,6
,,2025-07-23,Mumbai (BOM),Chandigarh (IXC),A20N (VT-TQB),02:04:00,06:00:00,06:20:00,08:10:00,,Landed 8:23 AM,  , ,360,380,490,503.0,20,13.0,6
,,2025-07-22,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTU),01:50:00,06:00:00,07:30:00,08:10:00,,Landed 9:20 AM,  , ,360,450,490,560.0,90,70.0,6
,,2025-07-21,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXK),01:50:00,06:00:00,06:11:00,08:10:00,,Landed 8:01 AM,  , ,360,371,490,481.0,11,-9.0,6
,,2025-07-20,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXM),01:48:00,05:30:00,05:50:00,07:40:00,,Landed 7:39 AM,  , ,330,350,460,459.0,20,-1.0,5
,,2025-07-19,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXL),01:54:00,06:00:00,06:15:00,08:10:00,,Landed 8:09 AM,  , ,360,375,490,489.0,15,-1.0,6
,,2025-07-25,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQW),01:09:00,06:00:00,06:17:00,07:25:00,,Landed 7:26 AM,  , ,360,377,445,446.0,17,1.0,6
,,2025-07-24,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQH),01:08:00,06:00:00,06:18:00,07:25:00,,Landed 7:27 AM,  , ,360,378,445,447.0,18,2.0,6
,,2025-07-23,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:05:00,06:00:00,06:26:00,07:25:00,,Landed 7:31 AM,  , ,360,386,445,451.0,26,6.0,6
,,2025-07-22,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQF),01:06:00,06:00:00,06:39:00,07:25:00,,Landed 7:45 AM,  , ,360,399,445,465.0,39,20.0,6
,,2025-07-21,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TNU),01:07:00,06:00:00,06:22:00,07:25:00,,Landed 7:29 AM,  , ,360,382,445,449.0,22,4.0,6
,,2025-07-20,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:11:00,06:00:00,06:11:00,07:25:00,,Landed 7:23 AM,  , ,360,371,445,443.0,11,-2.0,6
,,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQB),01:13:00,06:00:00,06:20:00,07:25:00,,Landed 7:33 AM,  , ,360,380,445,453.0,20,8.0,6
,,2025-07-25,Mumbai (BOM),Delhi (DEL),A21N (VT-NCB),01:42:00,06:00:00,06:08:00,07:55:00,,Landed 7:49 AM,  , ,360,368,475,469.0,8,-6.0,6
,,2025-07-24,Mumbai (BOM),Delhi (DEL),A21N (VT-IWQ),01:47:00,06:00:00,06:15:00,07:55:00,,Landed 8:02 AM,  , ,360,375,475,482.0,15,7.0,6
,,2025-07-23,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),01:52:00,06:00:00,06:22:00,07:55:00,,Landed 8:14 AM,  , ,360,382,475,494.0,22,19.0,6
,,2025-07-22,Mumbai (BOM),Delhi (DEL),A21N (VT-ICF),01:37:00,06:00:00,06:08:00,07:55:00,,Landed 7:45 AM,  , ,360,368,475,465.0,8,-10.0,6
,,2025-07-21,Mumbai (BOM),Delhi (DEL),A21N (VT-NCR),01:36:00,06:00:00,06:10:00,07:55:00,,Landed 7:45 AM,  , ,360,370,475,465.0,10,-10.0,6
,,2025-07-20,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),01:40:00,06:00:00,06:02:00,07:55:00,,Landed 7:42 AM,  , ,360,362,475,462.0,2,-13.0,6
,,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-NCG),01:45:00,06:00:00,06:07:00,07:55:00,,Landed 7:53 AM,  , ,360,367,475,473.0,7,-2.0,6
,,2025-07-25,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAP),02:12:00,06:05:00,06:25:00,08:45:00,,Landed 8:37 AM,  , ,365,385,525,517.0,20,-8.0,6
,,2025-07-24,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAH),02:23:00,06:05:00,06:23:00,08:45:00,,Landed 8:46 AM,  , ,365,383,525,526.0,18,1.0,6
,,2025-07-23,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAG),02:23:00,06:05:00,06:30:00,08:45:00,,Landed 8:52 AM,  , ,365,390,525,532.0,25,7.0,6
,,2025-07-22,Mumbai (BOM),Srinagar (SXR),B38M (VT-YBE),02:19:00,06:05:00,06:18:00,08:45:00,,Landed 8:37 AM,  , ,365,378,525,517.0,13,-8.0,6
